Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
201510,7.75,0.0775,-1.88,-0.46,0,0.08,-0.0188,-0.0046,2.154630362,1.151337074,0.891732436
201511,0.56,0.0056,3.6,-0.42,0,0,0.036,-0.0042,2.166696292,1.192785208,0.887987159
201512,-2.17,-0.0217,-2.84,-2.61,0.01,-0.02,-0.0285,-0.0262,2.119678982,1.15879083,0.864721896
201601,-5.77,-0.0577,-3.42,2.09,0.01,-0.05,-0.0343,0.0208,1.997373505,1.119044305,0.882708111
201602,-0.07,-0.0007,0.73,-0.57,0.02,0,0.0071,-0.0059,1.995975343,1.126989519,0.877500133
201603,6.96,0.0696,0.82,1.19,0.02,0.06,0.008,0.0117,2.134895227,1.136005435,0.887766885
201604,0.91,0.0091,0.76,3.28,0.01,0,0.0075,0.0327,2.154322774,1.144525476,0.916796862
201605,1.78,0.0178,-0.17,-1.66,0.01,0.02,-0.0018,-0.0167,2.192669719,1.14246533,0.901486354
201606,-0.05,-0.0005,0.61,-1.48,0.02,0,0.0059,-0.015,2.191573384,1.149205876,0.887964059
201607,3.95,0.0395,2.49,-1.32,0.02,0.03,0.0247,-0.0134,2.278140533,1.177591261,0.876065341
201608,0.49,0.0049,1.15,3.18,0.02,0,0.0113,0.0316,2.289303422,1.190898042,0.903749005
201609,0.25,0.0025,2.12,-1.24,0.02,0,0.021,-0.0126,2.29502668,1.215906901,0.892361768
201610,-2.02,-0.0202,-4.4,4.09,0.02,-0.02,-0.0442,0.0407,2.248667141,1.162163816,0.928680892
201611,4.86,0.0486,5.71,8.21,0.01,0.03,0.057,0.082,2.357952364,1.228407153,1.004832725
201612,1.81,0.0181,0.1,3.53,0.03,0.02,0.0007,0.035,2.400631302,1.229267038,1.040001871
201701,1.94,0.0194,-1.19,-2.75,0.04,0.02,-0.0123,-0.0279,2.447203549,1.214147054,1.010985818
201702,3.57,0.0357,-2.05,-1.67,0.04,0.04,-0.0209,-0.0171,2.534568716,1.18877138,0.993697961
201703,0.17,0.0017,1.14,-3.35,0.03,0,0.0111,-0.0338,2.538877483,1.201966743,0.96011097
